ID,NL,MR,ALIGNMENT,MONOTONIC
182,wie viele staatsbuerger in boulder,"answer(population_1(cityid(boulder, _)))","('wie', 'answer'), ('viele', 'ε'), ('staatsbuerger', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
183,wie viele leute in boulder,"answer(population_1(cityid(boulder, _)))","('wie', 'answer'), ('viele', 'ε'), ('leute', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
184,wie viele staaten grenzen an iowa,answer(count(state(next_to_2(stateid(iowa))))),"('wie', 'answer'), ('viele', 'count'), ('staaten', 'state'), ('grenzen', 'next_to_2'), ('an', 'ε'), ('iowa', 'stateid(iowa)')",1
185,welcher staat hat die niedrigste erhebung in den staaten durch welche der mississippi fluss verlaeuft,answer(state(loc_1(lowest(place(loc_2(state(traverse_1(riverid(mississippi))))))))),"('welcher', 'answer'), ('staat', 'state'), ('hat', 'loc_1'), ('die', 'ε'), ('niedrigste', 'lowest'), ('erhebung', 'place'), ('in', 'loc_2'), ('den', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welche', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε'), ('verlaeuft', 'ε')",1
186,wie hoch ist die bevoelkerung von boulder,"answer(population_1(cityid(boulder, _)))","('wie', 'answer'), ('hoch', 'ε'), ('ist', 'ε'), ('die', 'ε'), ('bevoelkerung', 'population_1'), ('von', 'ε'), ('boulder', 'cityid(boulder, _)')",1
187,leute in boulder,"answer(population_1(cityid(boulder, _)))","('ε', 'answer'), ('leute', 'population_1'), ('in', 'ε'), ('boulder', 'cityid(boulder, _)')",1
188,wie viele fluesse verlaufen durch new york,answer(river(loc_2(stateid(new york)))),"('wie', 'answer'), ('viele', 'ε'), ('fluesse', 'river'), ('verlaufen', 'ε'), ('durch', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε')",1
189,sacramento ist die hauptstadt welcher staat,"answer(state(loc_1(capital(cityid(sacramento, _)))))","('sacramento', 'cityid(sacramento, _)'), ('ist', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('ε', 'loc_1'), ('welcher', 'answer'), ('staat', 'state')",0
190,in welchem staat liegt san antonio,"answer(state(loc_1(cityid(san antonio, _))))","('in', 'ε'), ('welchem', 'answer'), ('staat', 'state'), ('liegt', 'loc_1'), ('san', 'cityid(san antonio, _)'), ('antonio', 'ε')",1
191,zeige mir die wichtigsten staedte in colorado,answer(major(city(loc_2(stateid(colorado))))),"('zeige', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
192,zeige mir alle groesseren seen in den usa,answer(major(lake(loc_2(countryid(usa))))),"('zeige', 'answer'), ('mir', 'ε'), ('alle', 'ε'), ('groesseren', 'major'), ('seen', 'lake'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
193,nenne den staat mit der groessten flaeche,answer(largest_one(area_1(state(all)))),"('nenne', 'answer'), ('den', 'ε'), ('staat', 'state(all)'), ('mit', 'ε'), ('der', 'ε'), ('groessten', 'largest_one'), ('flaeche', 'area_1')",0
194,staaten iowa angrenzend,answer(state(next_to_2(stateid(iowa)))),"('ε', 'answer'), ('staaten', 'state'), ('iowa', 'stateid(iowa)'), ('angrenzend', 'next_to_2')",0
195,nenne mir die staedte in texas,answer(city(loc_2(stateid(texas)))),"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
196,durch welche staaten fliesst der laengste fluss in texas,answer(state(traverse_1(longest(river(loc_2(stateid(texas))))))),"('durch', 'ε'), ('welche', 'answer'), ('staaten', 'state'), ('fliesst', 'traverse_1'), ('der', 'ε'), ('laengste', 'longest'), ('fluss', 'river'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",0
197,durch welche staaten verlaueft der mississippi,answer(state(traverse_1(riverid(mississippi)))),"('durch', 'ε'), ('welche', 'answer'), ('staaten', 'state'), ('verlaueft', 'traverse_1'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)')",1
198,durch welche staaten fliesst der mississippi,answer(state(traverse_1(riverid(mississippi)))),"('durch', 'ε'), ('welche', 'answer'), ('staaten', 'state'), ('fliesst', 'traverse_1'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)')",1
199,welche fluesse gibt es in texas,answer(river(loc_2(stateid(texas)))),"('welche', 'answer'), ('fluesse', 'river'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
200,welche wichtigen fluesse gibt es in texas,answer(major(river(loc_2(stateid(texas))))),"('welche', 'answer'), ('wichtigen', 'major'), ('fluesse', 'river'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
201,welches sind die groessten fluesse in texas,answer(longest(river(loc_2(stateid(texas))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'longest'), ('fluesse', 'river'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
202,wie lauten die hauptstaedte der staaten welche an texas grenzen,answer(capital(city(loc_2(state(next_to_2(stateid(texas))))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('hauptstaedte', 'capital'), ('ε', 'city'), ('der', 'loc_2'), ('staaten', 'state'), ('welche', 'next_to_2'), ('an', 'ε'), ('texas', 'stateid(texas)'), ('grenzen', 'ε')",1
203,was ist die hauptstadt des staates texas,answer(capital(city(loc_2(stateid(texas))))),"('was', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('ε', 'city'), ('des', 'loc_2'), ('staates', 'ε'), ('texas', 'stateid(texas)')",1
204,wie lauten die hauptstaedte der staaten welche an missouri grenzen,answer(capital(loc_2(state(next_to_2(stateid(missouri)))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('hauptstaedte', 'capital'), ('der', 'loc_2'), ('staaten', 'state'), ('welche', 'ε'), ('an', 'next_to_2'), ('missouri', 'stateid(missouri)'), ('grenzen', 'ε')",1
205,welches sind die hauptstaedte der an texas angrenzenden staaten,answer(capital(loc_2(state(next_to_2(stateid(texas)))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('hauptstaedte', 'capital'), ('der', 'loc_2'), ('an', 'next_to_2'), ('texas', 'stateid(texas)'), ('angrenzenden', 'ε'), ('staaten', 'state')",0
206,was sind die staedte in california,answer(city(loc_2(stateid(california)))),"('was', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
207,wie lauten die staedte in den staaten durch welchder mississippi fluss verlaeuft,answer(city(loc_2(state(traverse_1(riverid(mississippi)))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('den', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welchder', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε'), ('verlaeuft', 'ε')",1
208,welches sind die staedte des staates mit der hoechsten erhebung,answer(city(loc_2(state(loc_1(highest(place(all))))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('des', 'loc_2'), ('staates', 'state'), ('mit', 'loc_1'), ('der', 'ε'), ('hoechsten', 'highest'), ('erhebung', 'place(all)')",1
209,wie lauten die hoechsten punkte aller staaten,answer(highest(place(loc_2(state(all))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('hoechsten', 'highest'), ('punkte', 'place'), ('ε', 'loc_2'), ('aller', 'ε'), ('staaten', 'state(all)')",1
210,wie lauten die hoechsten punkte der staaten welche mississippi umgeben,answer(highest(place(loc_2(state(next_to_2(stateid(mississippi))))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('hoechsten', 'highest'), ('punkte', 'place'), ('der', 'loc_2'), ('staaten', 'state'), ('welche', 'next_to_2'), ('mississippi', 'stateid(mississippi)'), ('umgeben', 'ε')",1
211,wie lauten die namen der seen der staaten welche an texas grenzen,answer(lake(loc_2(state(next_to_2(stateid(texas)))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('namen', 'ε'), ('der', 'loc_2'), ('seen', 'lake'), ('der', 'ε'), ('staaten', 'state'), ('welche', 'ε'), ('an', 'next_to_2'), ('texas', 'stateid(texas)'), ('grenzen', 'ε')",0
212,welches sind die groessten staedte in an den groessten staat angrenzende staaten,answer(largest(city(loc_2(state(next_to_2(largest(state(all)))))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'largest'), ('staedte', 'city'), ('in', 'loc_2'), ('an', 'next_to_2'), ('den', 'ε'), ('groessten', 'largest'), ('staat', 'state'), ('angrenzende', 'ε'), ('staaten', 'state(all)')",1
213,welches sind die grossen staedte in alabama,answer(major(city(loc_2(stateid(alabama))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('grossen', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('alabama', 'stateid(alabama)')",1
214,wie lauten die wichtigsten staedte in alaska,answer(major(city(loc_2(stateid(alaska))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
215,wie lauten die wichtigsten staedte in dem staat california,answer(major(city(loc_2(stateid(california))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('dem', 'ε'), ('staat', 'ε'), ('california', 'stateid(california)')",1
216,welches sind grosse staedte in delaware,answer(major(city(loc_2(stateid(delaware))))),"('welches', 'answer'), ('sind', 'ε'), ('grosse', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('delaware', 'stateid(delaware)')",1
217,welche grossen staedte gibt es in kansas,answer(major(city(loc_2(stateid(kansas))))),"('welche', 'answer'), ('grossen', 'major'), ('staedte', 'city'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('kansas', 'stateid(kansas)')",1
218,welche sind die groessten staedte in missouri,answer(major(city(loc_2(stateid(missouri))))),"('welche', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('missouri', 'stateid(missouri)')",1
219,welche sind die groesseren staedte in new mexico,answer(major(city(loc_2(stateid(new mexico))))),"('welche', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groesseren', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
220,welches sind grosse staedte in new york,answer(major(city(loc_2(stateid(new york))))),"('welches', 'answer'), ('sind', 'ε'), ('grosse', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε')",1
221,welches sind die wesentlichen staedte north carolinas,answer(major(city(loc_2(stateid(north carolina))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('wesentlichen', 'major'), ('staedte', 'city'), ('ε', 'loc_2'), ('north', 'stateid(north carolina)'), ('carolinas', 'ε')",1
222,wie lauten die wichtigsten staedte in ohio,answer(major(city(loc_2(stateid(ohio))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('ohio', 'stateid(ohio)')",1
223,welche sind die groesste staedte in oklahoma,answer(major(city(loc_2(stateid(oklahoma))))),"('welche', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groesste', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('oklahoma', 'stateid(oklahoma)')",1
224,wie lauten die wichtigsten staedte in rhode island,answer(major(city(loc_2(stateid(rhode island))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
225,welches sind grosse staedte in den staaten durch die der mississippi fliesst,answer(major(city(loc_2(state(traverse_1(riverid(mississippi))))))),"('welches', 'answer'), ('sind', 'ε'), ('grosse', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('den', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('die', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fliesst', 'ε')",1
226,welche sind die groessten staedte in texas,answer(major(city(loc_2(stateid(texas))))),"('welche', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
227,was sind die groessten staedte in dem groessten staat,answer(major(city(loc_2(largest(state(all)))))),"('was', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('dem', 'ε'), ('groessten', 'largest'), ('staat', 'state(all)')",1
228,welches sind die groessten staedte im kleinsten staat der usa,answer(major(city(loc_2(smallest(state(loc_2(countryid(usa)))))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'major'), ('staedte', 'city'), ('im', 'loc_2'), ('kleinsten', 'smallest'), ('staat', 'state'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
229,wie lauten die wichtigsten staedte in california,answer(major(city(loc_2(stateid(california))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
230,wie lauten die wichtigsten staedte in den vereinigten staaten durch welche der wichtigste fluss in virginia verlaeuft,answer(major(city(loc_2(state(traverse_1(major(river(loc_2(stateid(virginia)))))))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('den', 'ε'), ('vereinigten', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welche', 'ε'), ('der', 'ε'), ('wichtigste', 'major'), ('fluss', 'river'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)'), ('verlaeuft', 'ε')",1
231,wie lauten die wichtigen staedte der usa,answer(major(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigen', 'major'), ('staedte', 'city'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
232,welches sind grosse staedte in vermont,answer(major(city(loc_2(stateid(vermont))))),"('welches', 'answer'), ('sind', 'ε'), ('grosse', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('vermont', 'stateid(vermont)')",1
233,wie lauten die wichtigsten staedte in wyoming,answer(major(city(loc_2(stateid(wyoming))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('wyoming', 'stateid(wyoming)')",1
234,welches sind die wesentlichen staedte in texas,answer(major(city(loc_2(stateid(texas))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('wesentlichen', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
235,welches sind die groessten staedte der usa,answer(major(city(loc_2(countryid(usa))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('groessten', 'major'), ('staedte', 'city'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
236,wie lauten die wichtigsten staedte der vereinigten staaten,answer(major(city(loc_2(countryid(usa))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('staedte', 'city'), ('der', 'loc_2'), ('vereinigten', 'countryid(usa)'), ('staaten', 'ε')",1
237,wie lauten die wichtigsten seen in den usa,answer(major(lake(loc_2(countryid(usa))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('seen', 'lake'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
238,wie lauten die wichtigsten fluesse in ohio,answer(major(river(loc_2(stateid(ohio))))),"('wie', 'answer'), ('lauten', 'ε'), ('die', 'ε'), ('wichtigsten', 'major'), ('fluesse', 'river'), ('in', 'loc_2'), ('ohio', 'stateid(ohio)')",1
239,welches sind die haupt fluesse in den usa,answer(major(river(loc_2(countryid(usa))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('haupt', 'major'), ('fluesse', 'river'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",1
240,welches sind die namen grosser staedte in illinois,answer(major(city(loc_2(stateid(illinois))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('namen', 'ε'), ('grosser', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('illinois', 'stateid(illinois)')",1
241,welches sind die nachbarstaaten von michigan,answer(state(next_to_2(stateid(michigan)))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('nachbarstaaten', 'state'), ('von', 'ε'), ('michigan', 'stateid(michigan)')",1
242,welches sind die bevoelkerungsdichten der us staaten,answer(density_1(state(all))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungsdichten', 'density_1'), ('der', 'ε'), ('us', 'ε'), ('staaten', 'state(all)')",1
243,welches ist die einwohnerzahl von mississippi,answer(population_1(stateid(mississippi))),"('welches', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('einwohnerzahl', 'population_1'), ('von', 'ε'), ('mississippi', 'stateid(mississippi)')",1
244,wie gross sind die bevoelkerungen aller wichtigen staedte in montana,answer(population_1(major(city(loc_2(stateid(montana)))))),"('wie', 'answer'), ('gross', 'ε'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('aller', 'ε'), ('wichtigen', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
245,wie hoch ist die bevoelkerung der staaten durch welche der mississippi fluss verlaeuft,answer(population_1(state(traverse_1(riverid(mississippi))))),"('wie', 'answer'), ('hoch', 'ε'), ('ist', 'ε'), ('die', 'ε'), ('bevoelkerung', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welche', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε'), ('verlaeuft', 'ε')",1
246,was sind die bevoelkerungen der staaten durch denen die mississippi fluss fliesst,answer(population_1(state(traverse_1(riverid(mississippi))))),"('was', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('denen', 'ε'), ('die', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε'), ('fliesst', 'ε')",1
247,was sind die bevoelkerungen der staaten durch deren den mississippi fliesst,answer(population_1(state(traverse_1(riverid(mississippi))))),"('was', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('deren', 'ε'), ('den', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fliesst', 'ε')",1
248,was sind die bevoelkerungen der staaten durch deren den mississippi fliesst,answer(population_1(state(traverse_1(riverid(mississippi))))),"('was', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('deren', 'ε'), ('den', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fliesst', 'ε')",1
249,wie gross sind die bevoelkerungen der staaten welche an texas grenzen,answer(population_1(state(next_to_2(stateid(texas))))),"('wie', 'answer'), ('gross', 'population_1'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'ε'), ('der', 'ε'), ('staaten', 'state'), ('welche', 'next_to_2'), ('an', 'ε'), ('texas', 'stateid(texas)'), ('grenzen', 'ε')",1
250,welches sind die einwohnerzahlen der grossen staedte in texas,answer(population_1(major(city(loc_2(stateid(texas)))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('einwohnerzahlen', 'population_1'), ('der', 'ε'), ('grossen', 'major'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
251,wie gross ist die bevoelkerungszahl der staaten durch die der mississippi fliesst,answer(population_1(state(traverse_1(riverid(mississippi))))),"('wie', 'answer'), ('gross', 'ε'), ('ist', 'ε'), ('die', 'ε'), ('bevoelkerungszahl', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('die', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fliesst', 'ε')",1
252,wie gross sind die bevoelkerungen der staaten durch welche der mississippi verlaeuft,answer(population_1(state(traverse_1(riverid(mississippi))))),"('wie', 'answer'), ('gross', 'ε'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welche', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('verlaeuft', 'ε')",1
253,wie gross sind die bevoelkerungen der staaten durch die der mississippi fliesst,answer(population_1(state(traverse_1(riverid(mississippi))))),"('wie', 'answer'), ('gross', 'ε'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('der', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('die', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fliesst', 'ε')",1
254,wie gross sind die bevoelkerungen in den staaten durch welche der mississippi fluss verlaeuft,answer(population_1(state(traverse_1(riverid(mississippi))))),"('wie', 'answer'), ('gross', 'ε'), ('sind', 'ε'), ('die', 'ε'), ('bevoelkerungen', 'population_1'), ('in', 'ε'), ('den', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('welche', 'ε'), ('der', 'ε'), ('mississippi', 'riverid(mississippi)'), ('fluss', 'ε'), ('verlaeuft', 'ε')",1
255,welches sind die fluesse in alaska,answer(river(loc_2(stateid(alaska)))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
256,welches sind die fluesse im staate indiana,answer(river(loc_2(stateid(indiana)))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('fluesse', 'river'), ('im', 'loc_2'), ('staate', 'ε'), ('indiana', 'stateid(indiana)')",1
257,welche fluesse gibt es in texas,answer(river(loc_2(stateid(texas)))),"('welche', 'answer'), ('fluesse', 'river'), ('gibt', 'ε'), ('es', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
258,welche sind die fluesse montanas,answer(river(loc_2(stateid(montana)))),"('welche', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('fluesse', 'river'), ('ε', 'loc_2'), ('montanas', 'stateid(montana)')",1
259,welche staaten gibt es,answer(state(all)),"('welche', 'answer'), ('staaten', 'state(all)'), ('gibt', 'ε'), ('es', 'ε')",1
260,welche staaten grenzen an den hoechstbevoelkertsten staat,answer(state(next_to_2(largest_one(population_1(state(all)))))),"('welche', 'answer'), ('staaten', 'state'), ('grenzen', 'next_to_2'), ('an', 'ε'), ('den', 'ε'), ('hoechstbevoelkertsten', 'largest_one'), ('ε', 'population_1'), ('staat', 'state(all)')",1
261,welches sind die staaten durch die der potomac fliesst,answer(state(traverse_1(riverid(potomac)))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('staaten', 'state'), ('durch', 'traverse_1'), ('die', 'ε'), ('der', 'ε'), ('potomac', 'riverid(potomac)'), ('fliesst', 'ε')",1
262,welche staaten durchquert der laengste fluss,answer(state(traverse_1(longest(river(all))))),"('welche', 'answer'), ('staaten', 'state'), ('durchquert', 'traverse_1'), ('der', 'ε'), ('laengste', 'longest'), ('fluss', 'river(all)')",1
263,was koennen sie mir zur bevoelkerung missouris sagen,answer(population_1(stateid(missouri))),"('was', 'answer'), ('koennen', 'ε'), ('sie', 'ε'), ('mir', 'ε'), ('zur', 'ε'), ('bevoelkerung', 'population_1'), ('missouris', 'stateid(missouri)'), ('sagen', 'ε')",1
264,was ist die groesste hauptstadt nach bevoelkerung,answer(largest_one(population_1(capital(all)))),"('was', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('groesste', 'largest_one'), ('hauptstadt', 'capital(all)'), ('nach', 'ε'), ('bevoelkerung', 'population_1')",0
265,welche hauptstadt ist die groesse in den usa,answer(largest(capital(loc_2(countryid(usa))))),"('welche', 'answer'), ('hauptstadt', 'capital'), ('ist', 'ε'), ('die', 'ε'), ('groesse', 'largest'), ('in', 'loc_2'), ('den', 'ε'), ('usa', 'countryid(usa)')",0
266,welche staedte befinden sich in pennsylvania,answer(city(loc_2(stateid(pennsylvania)))),"('welche', 'answer'), ('staedte', 'city'), ('befinden', 'ε'), ('sich', 'ε'), ('in', 'loc_2'), ('pennsylvania', 'stateid(pennsylvania)')",1
267,welche staedte in california,answer(city(loc_2(stateid(california)))),"('welche', 'answer'), ('staedte', 'city'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
268,welche staedte in texas die groesste bevoelkerung,answer(largest_one(population_1(city(loc_2(stateid(texas)))))),"('welche', 'answer'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)'), ('die', 'ε'), ('groesste', 'largest_one'), ('bevoelkerung', 'population_1')",0
269,welche stadt in texas hat die groesste bevoelkerung,answer(largest_one(population_1(city(loc_2(stateid(texas)))))),"('welche', 'answer'), ('stadt', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)'), ('hat', 'ε'), ('die', 'ε'), ('groesste', 'largest_one'), ('bevoelkerung', 'population_1')",0
270,welche stadt hat die groesste bevoelkerung,answer(largest_one(population_1(city(all)))),"('welche', 'answer'), ('stadt', 'city(all)'), ('hat', 'ε'), ('die', 'ε'), ('groesste', 'largest_one'), ('bevoelkerung', 'population_1')",0
271,welche stadt hat die kleinste bevoelkerung,answer(smallest_one(population_1(city(all)))),"('welche', 'answer'), ('stadt', 'city(all)'), ('hat', 'ε'), ('die', 'ε'), ('kleinste', 'smallest_one'), ('bevoelkerung', 'population_1')",0
272,welche stadt hat die meisten leute,answer(largest_one(population_1(city(all)))),"('welche', 'answer'), ('stadt', 'city(all)'), ('hat', 'ε'), ('die', 'ε'), ('meisten', 'largest_one'), ('leute', 'population_1')",0
273,welche us stadt hat ide hoechste bevoelkerungsdichte,answer(largest_one(density_1(city(loc_2(countryid(usa)))))),"('welche', 'answer'), ('us', 'countryid(usa)'), ('stadt', 'city'), ('hat', 'ε'), ('ide', 'loc_2'), ('hoechste', 'largest_one'), ('bevoelkerungsdichte', 'density_1')",0
274,wie lautet die hauptstadt von iowa,answer(capital(loc_2(stateid(iowa)))),"('wie', 'answer'), ('lautet', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('von', 'loc_2'), ('iowa', 'stateid(iowa)')",1
275,welches ist die hauptstadt des staates mit dem tiefstgelegenen punkt,answer(capital(loc_2(state(loc_1(lowest(place(all))))))),"('welches', 'answer'), ('ist', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('des', 'loc_2'), ('staates', 'state'), ('mit', 'loc_1'), ('dem', 'ε'), ('tiefstgelegenen', 'lowest'), ('punkt', 'place(all)')",1
276,wie lautet die groesste hauptstadt,answer(largest(capital(all))),"('wie', 'answer'), ('lautet', 'ε'), ('die', 'ε'), ('groesste', 'largest'), ('hauptstadt', 'capital(all)')",1
