ID,NL,MR,ALIGNMENT,MONOTONIC
214,what are the major cities in alaska,answer(major(city(loc_2(stateid(alaska))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
215,what are the major cities in california,answer(major(city(loc_2(stateid(california))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
216,what are the major cities in delaware,answer(major(city(loc_2(stateid(delaware))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('delaware', 'stateid(delaware)')",1
217,what are the major cities in kansas,answer(major(city(loc_2(stateid(kansas))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('kansas', 'stateid(kansas)')",1
218,what are the major cities in missouri,answer(major(city(loc_2(stateid(missouri))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('missouri', 'stateid(missouri)')",1
219,what are the major cities in new mexico,answer(major(city(loc_2(stateid(new mexico))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
220,what are the major cities in new york,answer(major(city(loc_2(stateid(new york))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('new', 'stateid(new york)'), ('york', 'ε')",1
221,what are the major cities in north carolina,answer(major(city(loc_2(stateid(north carolina))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('north', 'stateid(north carolina)'), ('carolina', 'ε')",1
222,what are the major cities in ohio,answer(major(city(loc_2(stateid(ohio))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('ohio', 'stateid(ohio)')",1
223,what are the major cities in oklahoma,answer(major(city(loc_2(stateid(oklahoma))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('oklahoma', 'stateid(oklahoma)')",1
224,what are the major cities in rhode island,answer(major(city(loc_2(stateid(rhode island))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('rhode', 'stateid(rhode island)'), ('island', 'ε')",1
225,what are the major cities in states through which the mississippi runs,answer(major(city(loc_2(state(traverse_1(riverid(mississippi))))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('runs', 'ε')",1
226,what are the major cities in texas,answer(major(city(loc_2(stateid(texas))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
227,what are the major cities in the largest state,answer(major(city(loc_2(largest(state(all)))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')",1
228,what are the major cities in the smallest state in the us,answer(major(city(loc_2(smallest(state(loc_2(countryid(usa)))))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('smallest', 'smallest'), ('state', 'state'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
229,what are the major cities in the state of california,answer(major(city(loc_2(stateid(california))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('california', 'stateid(california)')",1
230,what are the major cities in the states through which the major river in virginia runs,answer(major(city(loc_2(state(traverse_1(major(river(loc_2(stateid(virginia)))))))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('major', 'major'), ('river', 'river'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)'), ('runs', 'ε')",1
231,what are the major cities in the usa,answer(major(city(loc_2(countryid(usa))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
232,what are the major cities in vermont,answer(major(city(loc_2(stateid(vermont))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('vermont', 'stateid(vermont)')",1
233,what are the major cities in wyoming,answer(major(city(loc_2(stateid(wyoming))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('wyoming', 'stateid(wyoming)')",1
234,what are the major cities of texas,answer(major(city(loc_2(stateid(texas))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('of', 'loc_2'), ('texas', 'stateid(texas)')",1
235,what are the major cities of the united states,answer(major(city(loc_2(countryid(usa))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('of', 'loc_2'), ('the', 'ε'), ('united', 'countryid(usa)'), ('states', 'ε')",1
236,what are the major cities of the us,answer(major(city(loc_2(countryid(usa))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('of', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
237,what are the major lakes in united states,answer(major(lake(loc_2(countryid(usa))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('lakes', 'lake'), ('in', 'loc_2'), ('united', 'countryid(usa)'), ('states', 'ε')",1
238,what are the major rivers in ohio,answer(major(river(loc_2(stateid(ohio))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('rivers', 'river'), ('in', 'loc_2'), ('ohio', 'stateid(ohio)')",1
239,what are the major rivers in the us,answer(major(river(loc_2(countryid(usa))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('major', 'major'), ('rivers', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
240,what are the names of the major cities in illinois,answer(major(city(loc_2(stateid(illinois))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('names', 'ε'), ('of', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('illinois', 'stateid(illinois)')",1
241,what are the neighboring states for michigan,answer(state(next_to_2(stateid(michigan)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('neighboring', 'next_to_2'), ('states', 'state'), ('for', 'ε'), ('michigan', 'stateid(michigan)')",0
242,what are the population densities of each us state,answer(density_1(state(all))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('population', 'ε'), ('densities', 'density_1'), ('of', 'ε'), ('each', 'ε'), ('us', 'ε'), ('state', 'state(all)')",1
243,what is the population of mississippi,answer(population_1(stateid(mississippi))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('population', 'population_1'), ('of', 'ε'), ('mississippi', 'stateid(mississippi)')",1
244,what are the populations of all the major cities in montana,answer(population_1(major(city(loc_2(stateid(montana)))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('all', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
245,what are the populations of states through which the mississippi river runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε'), ('runs', 'ε')",1
246,what are the populations of states through which the mississippi river runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε'), ('runs', 'ε')",1
247,what are the populations of states through which the mississippi runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('runs', 'ε')",1
248,what are the populations of states through which the mississippi runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('runs', 'ε')",1
249,what are the populations of states which border texas,answer(population_1(state(next_to_2(stateid(texas))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('states', 'state'), ('which', 'ε'), ('border', 'next_to_2'), ('texas', 'stateid(texas)')",1
250,what are the populations of the major cities of texas,answer(population_1(major(city(loc_2(stateid(texas)))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('the', 'ε'), ('major', 'major'), ('cities', 'city'), ('of', 'loc_2'), ('texas', 'stateid(texas)')",1
251,what are the populations of the states through which the mississippi river runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε'), ('runs', 'ε')",1
252,what are the populations of the states through which the mississippi river runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε'), ('runs', 'ε')",1
253,what are the populations of the states through which the mississippi runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('runs', 'ε')",1
254,what are the populations of the states through which the mississippi runs,answer(population_1(state(traverse_1(riverid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('populations', 'population_1'), ('of', 'ε'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('runs', 'ε')",1
255,what are the rivers in alaska,answer(river(loc_2(stateid(alaska)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
256,what are the rivers in the state of indiana,answer(river(loc_2(stateid(indiana)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('indiana', 'stateid(indiana)')",1
257,what are the rivers in the state of texas,answer(river(loc_2(stateid(texas)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('texas', 'stateid(texas)')",1
258,what are the rivers of montana,answer(river(loc_2(stateid(montana)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('of', 'loc_2'), ('montana', 'stateid(montana)')",1
259,what are the states,answer(state(all)),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('states', 'state(all)')",1
260,what are the states that border the state with the greatest population,answer(state(next_to_2(largest_one(population_1(state(all)))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('states', 'state'), ('that', 'ε'), ('border', 'next_to_2'), ('the', 'ε'), ('state', 'state(all)'), ('with', 'ε'), ('the', 'ε'), ('greatest', 'largest_one'), ('population', 'population_1')",0
261,what are the states that the potomac runs through,answer(state(traverse_1(riverid(potomac)))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('states', 'state'), ('that', 'ε'), ('the', 'ε'), ('potomac', 'riverid(potomac)'), ('runs', 'traverse_1'), ('through', 'ε')",0
262,what are the states through which the longest river runs,answer(state(traverse_1(longest(river(all))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('states', 'state'), ('through', 'traverse_1'), ('which', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river(all)'), ('runs', 'ε')",1
263,what can you tell me about the population of missouri,answer(population_1(stateid(missouri))),"('what', 'answer'), ('can', 'ε'), ('you', 'ε'), ('tell', 'ε'), ('me', 'ε'), ('about', 'ε'), ('the', 'ε'), ('population', 'population_1'), ('of', 'ε'), ('missouri', 'stateid(missouri)')",1
264,what capital has the largest population,answer(largest_one(population_1(capital(all)))),"('what', 'answer'), ('capital', 'capital(all)'), ('has', 'ε'), ('the', 'ε'), ('largest', 'largest_one'), ('population', 'population_1')",0
265,what capital is the largest in the us,answer(largest(capital(loc_2(countryid(usa))))),"('what', 'answer'), ('capital', 'capital'), ('is', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",0
266,what cities are located in pennsylvania,answer(city(loc_2(stateid(pennsylvania)))),"('what', 'answer'), ('cities', 'city'), ('are', 'ε'), ('located', 'loc_2'), ('in', 'ε'), ('pennsylvania', 'stateid(pennsylvania)')",1
267,what cities in california,answer(city(loc_2(stateid(california)))),"('what', 'answer'), ('cities', 'city'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
268,what cities in texas have the highest number of citizens,answer(largest_one(population_1(city(loc_2(stateid(texas)))))),"('what', 'answer'), ('cities', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)'), ('have', 'ε'), ('the', 'ε'), ('highest', 'largest_one'), ('number', 'ε'), ('of', 'ε'), ('citizens', 'population_1')",0
269,what cities in texas have the highest populations,answer(largest_one(population_1(city(loc_2(stateid(texas)))))),"('what', 'answer'), ('cities', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)'), ('have', 'ε'), ('the', 'ε'), ('highest', 'largest_one'), ('populations', 'population_1')",0
270,what city has the largest population,answer(largest_one(population_1(city(all)))),"('what', 'answer'), ('city', 'city(all)'), ('has', 'ε'), ('the', 'ε'), ('largest', 'largest_one'), ('population', 'population_1')",0
271,what city has the least population,answer(smallest_one(population_1(city(all)))),"('what', 'answer'), ('city', 'city(all)'), ('has', 'ε'), ('the', 'ε'), ('least', 'smallest_one'), ('population', 'population_1')",0
272,what city has the most people,answer(largest_one(population_1(city(all)))),"('what', 'answer'), ('city', 'city(all)'), ('has', 'ε'), ('the', 'ε'), ('most', 'largest_one'), ('people', 'population_1')",0
273,what city in the united states has the highest population density,answer(largest_one(density_1(city(loc_2(countryid(usa)))))),"('what', 'answer'), ('city', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('united', 'countryid(usa)'), ('states', 'ε'), ('has', 'ε'), ('the', 'ε'), ('highest', 'largest_one'), ('population', 'ε'), ('density', 'density_1')",0
274,what is capital of iowa,answer(capital(loc_2(stateid(iowa)))),"('what', 'answer'), ('is', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('iowa', 'stateid(iowa)')",1
275,what is capital of the state with the lowest point,answer(capital(loc_2(state(loc_1(lowest(place(all))))))),"('what', 'answer'), ('is', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('the', 'ε'), ('state', 'state'), ('with', 'loc_1'), ('the', 'ε'), ('lowest', 'lowest'), ('point', 'place(all)')",1
276,what is largest capital,answer(largest(capital(all))),"('what', 'answer'), ('ε', 'largest'), ('is', 'ε'), ('largest', 'ε'), ('capital', 'capital(all)')",1
277,what is the adjacent state of california,answer(state(next_to_2(stateid(california)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('adjacent', 'next_to_2'), ('state', 'state'), ('of', 'ε'), ('california', 'stateid(california)')",0
278,what is the area of alaska,answer(area_1(stateid(alaska))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('alaska', 'stateid(alaska)')",1
279,what is the area of all the states combined,answer(sum(area_1(state(all)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('all', 'ε'), ('the', 'ε'), ('states', 'state(all)'), ('combined', 'sum')",0
280,what is the area of california,answer(area_1(stateid(california))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('california', 'stateid(california)')",1
281,what is the area of florida,answer(area_1(stateid(florida))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('florida', 'stateid(florida)')",1
282,what is the area of idaho,answer(area_1(stateid(idaho))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('idaho', 'stateid(idaho)')",1
283,what is the area of maine,answer(area_1(stateid(maine))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('maine', 'stateid(maine)')",1
284,what is the area of maryland in square kilometers,answer(area_1(stateid(maryland))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('maryland', 'stateid(maryland)'), ('in', 'ε'), ('square', 'ε'), ('kilometers', 'ε')",1
285,what is the area of new mexico,answer(area_1(stateid(new mexico))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
286,what is the area of ohio,answer(area_1(stateid(ohio))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('ohio', 'stateid(ohio)')",1
287,what is the area of seattle,"answer(area_1(cityid(seattle, _)))","('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('seattle', 'cityid(seattle, _)')",1
288,what is the area of south carolina,answer(area_1(stateid(south carolina))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('south', 'stateid(south carolina)'), ('carolina', 'ε')",1
289,what is the area of texas,answer(area_1(stateid(texas))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('texas', 'stateid(texas)')",1
290,what is the area of the largest state,answer(area_1(largest(state(all)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')",1
291,what is the area of the smallest state,answer(area_1(smallest(state(all)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('smallest', 'smallest'), ('state', 'state(all)')",1
292,what is the area of the state with the capital albany,"answer(area_1(state(loc_1(capital(cityid(albany, _))))))","('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('state', 'state'), ('with', 'loc_1'), ('the', 'ε'), ('capital', 'capital'), ('albany', 'cityid(albany, _)')",1
293,what is the area of the state with the smallest population density,answer(area_1(smallest_one(density_1(state(all))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('state', 'state(all)'), ('with', 'ε'), ('the', 'ε'), ('smallest', 'smallest_one'), ('population', 'ε'), ('density', 'density_1')",0
294,what is the area of the states,answer(area_1(state(all))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('states', 'state(all)')",1
295,what is the area of the texas state,answer(area_1(stateid(texas))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('the', 'ε'), ('texas', 'stateid(texas)'), ('state', 'ε')",1
296,what is the area of wisconsin,answer(area_1(stateid(wisconsin))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('area', 'area_1'), ('of', 'ε'), ('wisconsin', 'stateid(wisconsin)')",1
297,what is the average population of the us by state,answer(density_1(countryid(usa))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('average', 'ε'), ('population', 'density_1'), ('of', 'ε'), ('the', 'ε'), ('us', 'countryid(usa)'), ('by', 'ε'), ('state', 'ε')",1
298,what is the average population per square km in pennsylvania,answer(density_1(stateid(pennsylvania))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('average', 'ε'), ('population', 'density_1'), ('per', 'ε'), ('square', 'ε'), ('km', 'ε'), ('in', 'ε'), ('pennsylvania', 'stateid(pennsylvania)')",1
299,what is the average population per square km in the us,answer(density_1(countryid(usa))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('average', 'ε'), ('population', 'density_1'), ('per', 'ε'), ('square', 'ε'), ('km', 'ε'), ('in', 'ε'), ('the', 'ε'), ('us', 'countryid(usa)')",1
300,what is the biggest american city in a state with a river,answer(largest(city(loc_2(state(loc_1(river(all))))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('american', 'ε'), ('city', 'city'), ('in', 'loc_2'), ('a', 'ε'), ('state', 'state'), ('with', 'loc_1'), ('a', 'ε'), ('river', 'river(all)')",1
301,what is the biggest capital city in the us,answer(largest(capital(city(loc_2(countryid(usa)))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('capital', 'capital'), ('city', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
302,what is the biggest city in arizona,answer(largest(city(loc_2(stateid(arizona))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('arizona', 'stateid(arizona)')",1
303,what is the biggest city in georgia,answer(largest(city(loc_2(stateid(georgia))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('georgia', 'stateid(georgia)')",1
304,what is the biggest city in kansas,answer(largest(city(loc_2(stateid(kansas))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('kansas', 'stateid(kansas)')",1
305,what is the biggest city in louisiana,answer(largest(city(loc_2(stateid(louisiana))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
306,what is the biggest city in nebraska,answer(largest(city(loc_2(stateid(nebraska))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('nebraska', 'stateid(nebraska)')",1
307,what is the biggest city in oregon,answer(largest(city(loc_2(stateid(oregon))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('oregon', 'stateid(oregon)')",1
308,what is the biggest city in texas,answer(largest(city(loc_2(stateid(texas))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
309,what is the biggest city in the smallest state,answer(largest(city(loc_2(smallest(state(all)))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('smallest', 'smallest'), ('state', 'state(all)')",1
310,what is the biggest city in the us,answer(largest(city(loc_2(countryid(usa))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
311,what is the biggest city in the usa,answer(largest(city(loc_2(countryid(usa))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
312,what is the biggest city in usa,answer(largest(city(loc_2(countryid(usa))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
313,what is the biggest city in wyoming,answer(largest(city(loc_2(stateid(wyoming))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('wyoming', 'stateid(wyoming)')",1
314,what is the biggest river in illinois,answer(longest(river(loc_2(stateid(illinois))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'longest'), ('river', 'river'), ('in', 'loc_2'), ('illinois', 'stateid(illinois)')",1
315,what is the biggest state,answer(largest(state(all))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('state', 'state(all)')",1
316,what is the biggest state in continental us,answer(largest(state(loc_2(countryid(usa))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('state', 'state'), ('in', 'loc_2'), ('continental', 'ε'), ('us', 'countryid(usa)')",1
317,what is the biggest state in the usa,answer(largest(state(loc_2(countryid(usa))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('biggest', 'largest'), ('state', 'state'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
318,what is the capital city of the largest state in the us,answer(capital(city(loc_2(largest(state(loc_2(countryid(usa)))))))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('city', 'city'), ('of', 'loc_2'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state'), ('in', 'loc_2'), ('the', 'ε'), ('us', 'countryid(usa)')",1
319,what is the capital of california,answer(capital(loc_2(stateid(california)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('california', 'stateid(california)')",1
320,what is the capital of colorado,answer(capital(loc_2(stateid(colorado)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('colorado', 'stateid(colorado)')",1
321,what is the capital of georgia,answer(capital(loc_2(stateid(georgia)))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('georgia', 'stateid(georgia)')",1
